Stop,Start
1.75,2.2333
4.7833,5.3333
5.9333,6.6
6.6333,7.2333
7.2667,9.4833
12.283,12.783
15.167,18.483
23.817,26.233
30.817,31.617
31.75,33.067
33.1,34.067
34.1,35.35
36.333,36.917
36.95,38.083
40.283,41.183
42.7,46.05
46.133,47.2
51.467,56.1
59.633,63.7
67.317,68.5
70,70.9
75.133,75.75
75.783,77.033
77.067,77.6
85.467,86.067
88.417,89.467
89.833,92.15
103.5,104.78
122.93,126.3
130.73,132.28
137.42,138.1
142.88,143.37
145.58,147.48
153.33,154.02
156.85,159.88
163.75,166.67
170.75,171.95
171.98,175.02
181.05,182.05
191.65,195.1
210.27,212.2
222.42,226.27
228.87,232.03
235.15,235.82
238.03,241.12
255.5,256.9
258.95,259.53
259.57,262.63
268.35,272.42
291.78,294.25
